Tahun,Bulan,ABJ,Jumlah Kasus,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Diff
2017,7,0.8813,52,33.0,35.0,85.0,61.0,68.0,40.0,-2.0
2017,8,0.8696,46,52.0,33.0,35.0,85.0,61.0,68.0,19.0
2017,9,0.8947,40,46.0,52.0,33.0,35.0,85.0,61.0,-6.0
2017,10,0.884,41,40.0,46.0,52.0,33.0,35.0,85.0,-6.0
2017,11,0.8804,50,41.0,40.0,46.0,52.0,33.0,35.0,1.0
2017,12,0.8915,57,50.0,41.0,40.0,46.0,52.0,33.0,9.0
2018,1,0.8611,60,57.0,50.0,41.0,40.0,46.0,52.0,7.0
2018,2,0.892,64,60.0,57.0,50.0,41.0,40.0,46.0,3.0
2018,3,0.8926,63,64.0,60.0,57.0,50.0,41.0,40.0,4.0
2018,4,0.8941,68,63.0,64.0,60.0,57.0,50.0,41.0,-1.0
2018,5,0.8954,49,68.0,63.0,64.0,60.0,57.0,50.0,5.0
2018,6,0.8902,40,49.0,68.0,63.0,64.0,60.0,57.0,-19.0
2018,7,0.8813,64,40.0,49.0,68.0,63.0,64.0,60.0,-9.0
2018,8,0.8696,52,64.0,40.0,49.0,68.0,63.0,64.0,24.0
2018,9,0.8947,54,52.0,64.0,40.0,49.0,68.0,63.0,-12.0
2018,10,0.884,54,54.0,52.0,64.0,40.0,49.0,68.0,2.0
2018,11,0.8804,63,54.0,54.0,52.0,64.0,40.0,49.0,0.0
2018,12,0.8915,68,63.0,54.0,54.0,52.0,64.0,40.0,9.0
2019,1,0.8611,58,68.0,63.0,54.0,54.0,52.0,64.0,5.0
2019,2,0.892,61,58.0,68.0,63.0,54.0,54.0,52.0,-10.0
2019,3,0.8926,36,61.0,58.0,68.0,63.0,54.0,54.0,3.0
2019,4,0.8941,34,36.0,61.0,58.0,68.0,63.0,54.0,-25.0
2019,5,0.8954,27,34.0,36.0,61.0,58.0,68.0,63.0,-2.0
2019,6,0.8902,29,27.0,34.0,36.0,61.0,58.0,68.0,-7.0
2019,7,0.8813,51,29.0,27.0,34.0,36.0,61.0,58.0,2.0
2019,8,0.8696,40,51.0,29.0,27.0,34.0,36.0,61.0,22.0
2019,9,0.8947,32,40.0,51.0,29.0,27.0,34.0,36.0,-11.0
2019,10,0.884,19,32.0,40.0,51.0,29.0,27.0,34.0,-8.0
2019,11,0.8804,15,19.0,32.0,40.0,51.0,29.0,27.0,-13.0
2019,12,0.8915,28,15.0,19.0,32.0,40.0,51.0,29.0,-4.0
2020,1,0.8762,45,28.0,15.0,19.0,32.0,40.0,51.0,13.0
2020,2,0.8966,51,45.0,28.0,15.0,19.0,32.0,40.0,17.0
2020,3,0.8892,50,51.0,45.0,28.0,15.0,19.0,32.0,6.0
2020,4,0.8918,15,50.0,51.0,45.0,28.0,15.0,19.0,-1.0
2020,5,0.8955,14,15.0,50.0,51.0,45.0,28.0,15.0,-35.0
2020,6,0.8952,14,14.0,15.0,50.0,51.0,45.0,28.0,-1.0
2020,7,0.8651,20,14.0,14.0,15.0,50.0,51.0,45.0,0.0
2020,8,0.8782,22,20.0,14.0,14.0,15.0,50.0,51.0,6.0
2020,9,0.8982,18,22.0,20.0,14.0,14.0,15.0,50.0,2.0
2020,10,0.8775,11,18.0,22.0,20.0,14.0,14.0,15.0,-4.0
