No;Tahun;Bulan;ABJ;Jumlah Kasus
1;2017;Jan;;40
2;2017;Feb;;68
3;2017;Mar;;61
4;2017;Apr;;85
5;2017;Mei;;35
6;2017;Juni;;33
7;2017;Juli;;52
8;2017;Agu;;46
9;2017;Sep;;40
10;2017;Okt;;41
11;2017;Nov;;50
12;2017;Des;;57
13;2018;Jan;;60
14;2018;Feb;;64
15;2018;Mar;;63
16;2018;Apr;;68
17;2018;Mei;;49
18;2018;Juni;;40
19;2018;Juli;;64
20;2018;Agu;;52
21;2018;Sep;;54
22;2018;Okt;;54
23;2018;Nov;;63
24;2018;Des;;68
25;2019;Jan;;58
26;2019;Feb;;61
27;2019;Mar;;36
28;2019;Apr;;34
29;2019;Mei;;27
30;2019;Juni;;29
31;2019;Juli;;51
32;2019;Agu;;40
33;2019;Sep;;32
34;2019;Okt;;19
35;2019;Nov;;15
36;2019;Des;;28
37;2020;Jan; 87,62 ;45
38;2020;Feb; 89,66 ;51
39;2020;Mar; 88,92 ;50
40;2020;Apr; 89,18 ;15
41;2020;Mei; 89,55 ;14
42;2020;Juni; 89,52 ;14
43;2020;Juli; 86,51 ;20
44;2020;Agu; 87,82 ;22
45;2020;Sep; 89,82 ;18
46;2020;Okt; 87,75 ;11
47;2020;Nov; 85,44 ;9
48;2020;Des; 88,21 ;23
49;2021;Jan; 86,00 ;20
50;2021;Feb; 89,74 ;19
51;2021;Mar; 89,34 ;15
52;2021;Apr; 88,71 ;23
53;2021;Mei; 90,53 ;27
54;2021;Juni; 89,54 ;38
55;2021;Juli; 89,74 ;21
56;2021;Agu; 86,35 ;16
57;2021;Sep; 89,71 ;27
58;2021;Okt; 87,77 ;30
59;2021;Nov; 88,13 ;57
60;2021;Des; 88,93 ;73
61;2022;Jan; 86,73 ;94
62;2022;Feb; 87,55 ;87
63;2022;Mar; 88,51 ;54
64;2022;Apr; 89,73 ;57
65;2022;Mei; 88,86 ;48
66;2022;Juni; 87,79 ;38
67;2022;Juli; 87,41 ;63
68;2022;Agu; 88,47 ;94
69;2022;Sep; 89,07 ;76
70;2022;Okt; 87,23 ;64
71;2022;Nov; 87,58 ;73
72;2022;Des; 88,44 ;76
73;2023;Jan; 83,85 ;55
74;2023;Feb; 88,69 ;56
75;2023;Mar; 89,85 ;33
76;2023;Apr; 91,35 ;41
77;2023;Mei; 91,68 ;42
78;2023;Juni; 89,24 ;30
79;2023;Juli; 88,85 ;32
80;2023;Agu; 85,20 ;42
81;2023;Sep; 89,29 ;47
82;2023;Okt; 90,84 ;31
83;2023;Nov; 91,02 ;20
84;2023;Des; 91,01 ;36
85;2024;Jan; 86,34 ;49
86;2024;Feb; 90,36 ;40
87;2024;Mar; 89,68 ;34
88;2024;Apr; 88,07 ;36
89;2024;Mei; 87,07 ;47
90;2024;Juni;;52
91;2024;Juli;;49
92;2024;Agu;;47
93;2024;Sep;;44
94;2024;Okt;;56
95;2024;Nov;;54
96;2024;Des;;37
